restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
Aura - Radha Regent,Bar,3.6,116,1200.0,0,1,"Continental, American, South Indian, Italian, North Indian, Chinese",Electronic City,Electronic City,600.0,Good
Authentic Aandhra,Delivery,2.8,40,300.0,1,0,"Andhra, North Indian",Bannerghatta Road,BTM,150.0,Poor
AutoExpress - Hot Dogs,Quick Bites,3.3,5,300.0,1,0,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR,150.0,Good
Avanti Indian Barbeque & Grill,Casual Dining,3.4,46,1100.0,0,0,North Indian,Indiranagar,Domlur,550.0,Good
Avista Cafe Pizzeria,Cafe,4.5,506,650.0,1,1,"Cafe, Italian",Kalyan Nagar,Hennur,325.0,Excellent
Avon Bar & Kitchen,Casual Dining,3.7,104,700.0,0,0,"Andhra, Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,350.0,Good
Awesome Biryani,"Takeaway, Delivery",2.8,40,500.0,0,0,"Biryani, Fast Food, Mughlai",Kalyan Nagar,Kalyan Nagar,250.0,Poor
Awesome Foods,Quick Bites,3.7,23,300.0,1,0,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,150.0,Good
Axomi - Taste of Assam,Casual Dining,4.0,610,500.0,1,0,Assamese,"Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,250.0,Excellent
Ayda Persian Kitchen,Casual Dining,3.7,39,950.0,0,0,"North Indian, Iranian",Banashankari,Banashankari,475.0,Good
Ayodhya Food Line,Quick Bites,3.4,10,250.0,1,0,"South Indian, North Indian, Fast Food, Chinese",Rajajinagar,Nagarbhavi,125.0,Good
Ayodhya Sagara,Quick Bites,3.8,65,200.0,1,0,"Chinese, North Indian, South Indian",Rajajinagar,Basaveshwara Nagar,100.0,Good
Ayodhya Upachar,Quick Bites,4.3,734,200.0,1,0,"South Indian, North Indian, Chinese, Street Food",Banashankari,Banashankari,100.0,Excellent
Ayush Reddy Tiffins & Fast Food Center,Quick Bites,3.5,40,300.0,0,0,"South Indian, Fast Food, Chinese",Koramangala 6th Block,BTM,150.0,Good
Azimmo Treat,Casual Dining,3.8,41,700.0,1,0,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",HSR,350.0,Good
Azura Restaurant,Casual Dining,2.8,95,500.0,1,0,"North Indian, Mughlai, Chinese, Arabian, Kerala",Bellandur,Bellandur,250.0,Poor
B & B The Pub,"Casual Dining, Bar",3.6,29,1000.0,0,0,"Asian, Continental",Basavanagudi,Basavanagudi,500.0,Good
