restaurant_name,restaurant_type,rating,num_ratings,cost_for_two,online_order,table_booking,cuisines,area,address,cost_per_person,rating_category
Aryan's Kitchen,Quick Bites,3.1,97,500.0,1,0,"North Indian, Fast Food",Whitefield,Whitefield,250.0,Good
Arzak,"Takeaway, Delivery",2.8,40,300.0,0,0,"Arabian, Middle Eastern, Rolls, Seafood, BBQ",Electronic City,Electronic City,150.0,Poor
As On Fire,Food Truck,3.4,41,400.0,1,0,"Pizza, Fast Food, BBQ",Jayanagar,South Bangalore,200.0,Good
Asaivam Restaurant,Casual Dining,4.0,69,750.0,1,0,"Chettinad, South Indian",Frazer Town,Indiranagar,375.0,Excellent
Ascharya Hotel,Quick Bites,3.3,10,300.0,1,0,"Mangalorean, South Indian",Basavanagudi,Koramangala 5th Block,150.0,Good
ASEAN - On The Edge,Casual Dining,4.4,861,1800.0,1,1,"Asian, Thai",Brigade Road,MG Road,900.0,Excellent
Asgardian Moreover Chai,Quick Bites,2.8,40,300.0,0,0,"Fast Food, Rolls, Juices","Byresandra,Tavarekere,Madiwala",BTM,150.0,Poor
Asha Food Camp,Casual Dining,4.0,137,700.0,0,1,"Desserts, North Indian, Chinese",Rajajinagar,Rajajinagar,350.0,Excellent
Asha Sweets Center,"Sweet Shop, Quick Bites",4.1,57,200.0,1,0,"Mithai, Street Food",Indiranagar,Indiranagar,100.0,Excellent
Asha Sweets Centre,Dessert Parlor,3.6,27,250.0,1,0,Fast Food,Banashankari,Basavanagudi,125.0,Good
Asha Tiffins,Quick Bites,4.3,278,150.0,1,0,South Indian,"Byresandra,Tavarekere,Madiwala",HSR,75.0,Excellent
Asharfilal,Dessert Parlor,3.5,10,150.0,1,0,Desserts,Bannerghatta Road,Bannerghatta Road,75.0,Good
Ashirvaad Grand,Quick Bites,4.0,113,400.0,1,0,"Chinese, North Indian, South Indian","Byresandra,Tavarekere,Madiwala",BTM,200.0,Excellent
Ashirvad Resturant,Quick Bites,3.2,7,300.0,0,0,"North Indian, Chinese",Marathahalli,Marathahalli,150.0,Good
Ashirvad Veg,Quick Bites,3.4,9,300.0,0,0,South Indian,Brookefield,Marathahalli,150.0,Good
Asia Alive - DoubleTree Suites By Hilton,Fine Dining,4.1,237,2000.0,0,1,"Continental, Thai, Malaysian, Burmese, Korean, Vietnamese, Chinese, North Indian",Bellandur,Sarjapur Road,1000.0,Excellent
Asia In A Box,Casual Dining,2.9,18,550.0,1,0,"Thai, Vietnamese, Indonesian, Asian",Kammanahalli,Kammanahalli,275.0,Poor
